Postal_Code,Make,Model
98241,CHEVROLET,BOLT EV
98247,TESLA,MODEL 3
98257,TESLA,MODEL 3
98262,NISSAN,LEAF
98264,TESLA,MODEL 3
98335,TESLA,MODEL 3
98362,NISSAN,LEAF
98376,TESLA,MODEL S
98404,TESLA,MODEL Y
98208,TESLA,MODEL Y
98248,NISSAN,LEAF
98249,NISSAN,LEAF
98294,TESLA,MODEL 3
98356,TESLA,MODEL 3
98360,TESLA,MODEL 3
98367,TESLA,MODEL 3
98443,NISSAN,LEAF
98467,TESLA,MODEL 3
98498,TESLA,MODEL 3
98203,NISSAN,LEAF
98220,CHEVROLET,BOLT EV
98296,TESLA,MODEL 3
98311,TESLA,MODEL 3
98357,CHEVROLET,VOLT
98401,CHEVROLET,VOLT
98402,NISSAN,LEAF
98408,TESLA,MODEL 3
98421,TESLA,MODEL S
98524,TESLA,MODEL 3
98564,TESLA,MODEL S
98577,KIA,NIRO
98605,CHEVROLET,BOLT EV
98640,TOYOTA,PRIUS PRIME
98651,TESLA,MODEL Y
98832,TESLA,MODEL 3
98926,TESLA,MODEL 3
99008,CHEVROLET,VOLT
99021,TESLA,MODEL Y
99033,CHEVROLET,VOLT
99118,TESLA,MODEL 3
98277,TESLA,MODEL 3
98292,TESLA,MODEL 3
98337,TESLA,MODEL 3
98340,TESLA,MODEL Y
98381,CHEVROLET,BOLT EV
98520,CHEVROLET,VOLT
98557,TESLA,MODEL 3
98560,KIA,NIRO
98592,RIVIAN,R1T
98604,TESLA,MODEL 3
99326,AUDI,Q5 E
99346,CHEVROLET,VOLT
6371,CHEVROLET,VOLT
20009,TESLA,MODEL 3
21701,NISSAN,LEAF
22308,TESLA,MODEL S
76542,FORD,MUSTANG MACH-E
92585,TESLA,MODEL 3
94403,TESLA,MODEL 3
94536,TESLA,MODEL 3
98053,TESLA,MODEL Y
98057,CHRYSLER,PACIFICA
98101,TESLA,MODEL 3
98116,TESLA,MODEL 3
98199,TESLA,MODEL Y
99223,TESLA,MODEL Y
99301,TESLA,MODEL 3
99328,TESLA,MODEL S
99336,TESLA,MODEL 3
99337,TESLA,MODEL 3
99349,FORD,F-150
99350,TESLA,MODEL 3
99402,TESLA,MODEL S
99403,TOYOTA,PRIUS PRIME
98532,CHEVROLET,VOLT
98550,TESLA,MODEL 3
98609,TOYOTA,PRIUS PRIME
98648,TOYOTA,PRIUS PRIME
98671,TESLA,MODEL 3
98948,CHEVROLET,BOLT EV
99012,FORD,FUSION
99029,CHEVROLET,BOLT EV
99138,TESLA,MODEL Y
99169,CHEVROLET,BOLT EV
99170,TESLA,MODEL Y
99181,TESLA,MODEL Y
99216,NISSAN,LEAF
99217,TESLA,MODEL Y
99344,TESLA,MODEL 3
99357,TESLA,MODEL 3
20815,TESLA,MODEL Y
22153,BMW,330E
22203,TESLA,MODEL 3
28307,CHEVROLET,VOLT
62281,TESLA,MODEL 3
80019,TESLA,MODEL Y
93560,FORD,FOCUS
95401,HONDA,CLARITY
95688,VOLKSWAGEN,ID.4
97404,VOLVO,S60
98029,TESLA,MODEL Y
98052,TESLA,MODEL 3
98148,TESLA,MODEL 3
98158,FORD,C-MAX
98177,TESLA,MODEL 3
98224,VOLVO,XC90
98226,NISSAN,LEAF
99148,TESLA,MODEL 3
99347,FORD,FUSION
98631,CHEVROLET,BOLT EV
98673,TOYOTA,PRIUS PRIME
98682,TESLA,MODEL 3
98828,TESLA,MODEL 3
98843,TESLA,MODEL 3
98922,TESLA,MODEL 3
98935,TESLA,MODEL Y
98942,TESLA,MODEL Y
98952,FORD,FUSION
99026,TESLA,MODEL Y
99114,TESLA,MODEL 3
99156,TESLA,MODEL Y
99166,TOYOTA,PRIUS PLUG-IN
8055,JEEP,WRANGLER
13638,FORD,C-MAX
23324,FORD,FUSION
23517,NISSAN,LEAF
23518,CHRYSLER,PACIFICA
29464,TESLA,MODEL 3
30024,TESLA,MODEL 3
30905,FORD,FUSION
39531,TESLA,MODEL Y
45243,NISSAN,LEAF
90620,FORD,FUSION
92234,VOLKSWAGEN,ID.4
93536,VOLVO,XC60
98001,TESLA,MODEL Y
98059,TESLA,MODEL Y
98075,TESLA,MODEL Y
98077,TESLA,MODEL Y
98087,TESLA,MODEL 3
98106,TESLA,MODEL Y
98109,TESLA,MODEL 3
98134,NISSAN,LEAF
98155,TESLA,MODEL 3
98372,TESLA,MODEL 3
98390,TESLA,MODEL 3
98229,NISSAN,LEAF
98251,TESLA,MODEL 3
98261,NISSAN,LEAF
98270,TESLA,MODEL 3
98359,TESLA,MODEL 3
98361,TESLA,MODEL Y
98377,CHRYSLER,PACIFICA
98405,NISSAN,LEAF
98439,RIVIAN,EDV
98445,NISSAN,LEAF
98513,TESLA,MODEL 3
98571,TESLA,MODEL S
98580,TESLA,MODEL 3
98590,VOLVO,XC60
98591,NISSAN,LEAF
98603,FORD,FUSION
98607,TESLA,MODEL Y
98662,TESLA,MODEL 3
98675,FORD,MUSTANG MACH-E
98846,TESLA,MODEL Y
98847,TESLA,MODEL Y
98855,TESLA,MODEL 3
98930,TESLA,MODEL Y
20774,TOYOTA,PRIUS PLUG-IN
22180,TOYOTA,RAV4 PRIME
22314,TOYOTA,RAV4 PRIME
67037,FORD,FUSION
79927,TESLA,MODEL S
83876,RIVIAN,R1T
95817,TESLA,MODEL 3
96706,JEEP,WRANGLER
98002,TESLA,MODEL 3
98027,TESLA,MODEL 3
98070,NISSAN,LEAF
98117,NISSAN,LEAF
98146,TESLA,MODEL 3
98236,NISSAN,LEAF
98275,TESLA,MODEL Y
98331,TESLA,MODEL 3
98345,NISSAN,LEAF
98371,TESLA,MODEL 3
98422,TESLA,MODEL Y
98502,TESLA,MODEL 3
98589,NISSAN,LEAF
98620,CHEVROLET,BOLT EV
98629,TESLA,MODEL 3
98814,TESLA,MODEL Y
98815,TESLA,MODEL 3
98831,TESLA,MODEL Y
98834,CHEVROLET,VOLT
98862,TESLA,MODEL Y
98901,TESLA,MODEL 3
98951,TESLA,MODEL 3
99025,TESLA,MODEL 3
99159,CHEVROLET,BOLT EV
99205,NISSAN,LEAF
99320,TESLA,MODEL S
99343,VOLKSWAGEN,ID.4
99360,TESLA,MODEL 3
98626,TESLA,MODEL 3
98635,CHEVROLET,BOLT EV
98643,NISSAN,LEAF
98813,FORD,MUSTANG MACH-E
98826,TESLA,MODEL Y
98830,TESLA,MODEL Y
98946,NISSAN,LEAF
99004,TESLA,MODEL 3
99006,TESLA,MODEL 3
99013,CHEVROLET,VOLT
99034,FORD,MUSTANG MACH-E
99121,TESLA,MODEL 3
99129,CHEVROLET,BOLT EV
99338,TESLA,MODEL 3
99341,RIVIAN,R1T
99362,TESLA,MODEL 3
1730,CHEVROLET,VOLT
1731,TESLA,MODEL 3
20653,TESLA,MODEL 3
21113,BMW,X5
32547,FORD,FUSION
75244,BMW,I4
78233,TESLA,MODEL Y
92056,CHRYSLER,PACIFICA
95131,TESLA,MODEL 3
98012,TESLA,MODEL Y
98103,TESLA,MODEL 3
98168,RIVIAN,EDV
98227,TOYOTA,PRIUS PLUG-IN
98252,TESLA,MODEL 3
98284,TESLA,MODEL 3
98685,TESLA,MODEL Y
98801,NISSAN,LEAF
98849,TESLA,MODEL 3
98925,TESLA,MODEL X
98936,TESLA,MODEL 3
99001,TESLA,MODEL Y
99018,TESLA,MODEL S
99022,TESLA,MODEL 3
99023,TOYOTA,RAV4 PRIME
99037,TESLA,MODEL Y
99126,TESLA,MODEL 3
99208,TESLA,MODEL Y
99354,TESLA,MODEL 3
98394,TESLA,MODEL 3
98444,TESLA,MODEL 3
98536,TESLA,MODEL Y
98568,KIA,SORENTO
98579,NISSAN,LEAF
98585,TESLA,MODEL 3
98611,TESLA,MODEL 3
98665,TESLA,MODEL 3
98391,TESLA,MODEL 3
98396,FORD,FUSION
98582,FORD,F-150
98588,TESLA,MODEL 3
98614,TOYOTA,PRIUS PRIME
98624,CHEVROLET,BOLT EV
98639,NISSAN,LEAF
98642,TESLA,MODEL 3
98661,TESLA,MODEL 3
98845,NISSAN,LEAF
98853,LUCID MOTORS,LUCID AIR
98856,CHEVROLET,BOLT EV
98941,TESLA,MODEL 3
98943,CHEVROLET,VOLT
99011,TESLA,MODEL 3
99109,CHEVROLET,VOLT
99133,BMW,I3
99204,NISSAN,LEAF
19403,NISSAN,LEAF
20003,TESLA,MODEL Y
62258,FIAT,500
85040,TESLA,MODEL 3
85281,TOYOTA,PRIUS PRIME
90249,FORD,FUSION
91304,TESLA,MODEL 3
92111,VOLVO,V60
92618,TOYOTA,PRIUS PRIME
95014,TESLA,MODEL 3
98011,TESLA,MODEL 3
98023,TESLA,MODEL 3
98033,TESLA,MODEL 3
98039,TESLA,MODEL S
98043,TESLA,MODEL 3
98056,TESLA,MODEL Y
98102,TESLA,MODEL 3
98112,TESLA,MODEL 3
98286,TESLA,MODEL 3
98328,TESLA,MODEL 3
98346,NISSAN,LEAF
98355,TESLA,MODEL 3
98358,NISSAN,LEAF
98375,TESLA,MODEL 3
98388,TESLA,MODEL 3
98406,TESLA,MODEL 3
98433,TESLA,MODEL 3
98465,TESLA,MODEL S
98541,FORD,C-MAX
98597,TESLA,MODEL 3
98908,TESLA,MODEL 3
99003,TESLA,MODEL 3
99027,TESLA,MODEL 3
99031,HONDA,CLARITY
99036,TESLA,MODEL Y
99324,TESLA,MODEL Y
99352,TESLA,MODEL 3
6355,TESLA,MODEL 3
6385,TOYOTA,RAV4 PRIME
21157,FORD,FUSION
23503,CHEVROLET,VOLT
66043,BMW,X5
76528,TESLA,MODEL Y
76548,FORD,FUSION
84121,KIA,NIRO
92103,TESLA,MODEL 3
92109,MITSUBISHI,OUTLANDER
92201,TESLA,MODEL S
93955,TESLA,MODEL 3
94535,TESLA,MODEL 3
95054,TESLA,MODEL 3
96752,JEEP,WRANGLER
98003,TESLA,MODEL 3
98104,NISSAN,LEAF
